排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,詹姆斯-哈登,火箭,31.9,9.60-21.10,0.45399999999999996,4.20-10.70,0.397,8.50-9.90,0.861,30,36.1
2,扬尼斯-阿德托昆博,雄鹿,29.7,10.90-19.90,0.545,0.50-1.70,0.271,7.50-9.80,0.773,28,38.0
3,勒布朗-詹姆斯,骑士,28.2,10.80-18.80,0.5720000000000001,2.10-5.10,0.41100000000000003,4.50-5.80,0.775,32,37.3
4,斯蒂芬-库里,勇士,26.3,8.30-17.60,0.473,3.60-9.50,0.381,6.00-6.50,0.9329999999999999,23,32.6
4,凯文-杜兰特,勇士,26.3,9.70-19.00,0.51,2.50-6.30,0.396,4.50-5.10,0.879,26,34.8
6,德马库斯-考辛斯,鹈鹕,26.2,9.00-19.00,0.473,2.30-6.40,0.35700000000000004,5.90-8.10,0.736,31,35.5
7,安东尼-戴维斯,鹈鹕,25.7,9.30-16.40,0.5670000000000001,0.60-1.80,0.348,6.40-8.00,0.807,26,35.4
8,克里斯塔普斯-波尔津吉斯,尼克斯,25.5,9.10-19.50,0.465,2.00-4.90,0.39799999999999996,5.30-6.30,0.848,24,31.8
9,达米安-利拉德,开拓者,25.2,8.10-19.40,0.418,2.80-8.10,0.348,6.20-6.70,0.9279999999999999,31,37.1
10,维克托-奥拉迪波,步行者,24.8,8.90-18.50,0.483,2.80-6.40,0.43200000000000005,4.30-5.40,0.7809999999999999,31,34.4
11,凯里-欧文,凯尔特人,24.7,9.00-18.30,0.491,2.50-6.20,0.402,4.20-4.70,0.887,32,32.2
12,德文-布克,太阳,24.3,8.50-18.80,0.45299999999999996,2.50-6.50,0.38299999999999995,4.80-5.50,0.87,25,34.0
13,乔尔-恩比德,76人,24.1,8.30-17.00,0.49,0.70-2.70,0.262,6.70-8.40,0.807,23,31.4
14,德马尔-德罗赞,猛龙,24.0,8.50-17.30,0.489,0.70-2.50,0.278,6.40-7.90,0.804,29,34.1
15,布拉德利-比尔,奇才,23.8,8.60-19.00,0.452,2.30-6.60,0.36,4.30-5.40,0.787,31,35.5
16,拉塞尔-威斯布鲁克,雷霆,23.3,8.30-20.50,0.40299999999999997,1.60-5.30,0.309,5.10-7.20,0.705,31,36.2
17,拉马库斯-阿尔德里奇,马刺,22.3,8.70-17.50,0.495,0.50-1.50,0.34,4.40-5.20,0.851,31,33.6
18,肯巴-沃克,黄蜂,21.2,7.00-16.90,0.414,2.20-6.80,0.332,5.00-5.80,0.862,29,35.0
19,CJ-麦科勒姆,开拓者,21.0,8.00-17.70,0.45,2.40-5.70,0.42100000000000004,2.70-3.10,0.88,30,36.8
19,克莱-汤普森,勇士,21.0,8.20-16.40,0.49700000000000005,3.50-7.40,0.46799999999999997,1.20-1.40,0.8809999999999999,31,34.1
21,卡尔-安东尼-唐斯,森林狼,20.7,7.70-14.60,0.526,1.40-3.70,0.39299999999999996,3.90-4.70,0.833,32,35.8
22,克里斯-米德尔顿,雄鹿,20.2,7.40-15.80,0.467,1.90-5.50,0.35200000000000004,3.50-4.00,0.8959999999999999,29,37.1
22,吉米-巴特勒,森林狼,20.2,7.20-15.60,0.46299999999999997,1.20-3.30,0.354,4.70-5.40,0.8640000000000001,30,37.2
24,保罗-乔治,雷霆,19.8,6.80-16.80,0.405,3.00-7.30,0.40399999999999997,3.30-4.10,0.805,29,37.0
24,路易斯-威廉姆斯,快船,19.8,6.50-14.90,0.436,2.40-6.20,0.385,4.40-4.90,0.895,29,30.8
26,凯文-乐福,骑士,19.5,6.40-13.50,0.474,2.20-5.30,0.40399999999999997,4.60-5.30,0.871,31,29.5
